Common name,Sci name,Other common names,Other sci name,Order,Family,Countries,In US?,Big enough?,Use for iSDM,GBIF records 31-May-23,iNat records 31-May-23,Cam sites,Cam records,GBIF notes,iNat notes,Cam notes,Max confusion score?,Overlapping with confused spec?,Assigned to undergrads?
Wyoming Pocket Gopher,Thomomys clusius,,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Idaho Pocket Gopher,Thomomys idahoensis,Bitterroot Valley Pocket Gopher|Hamilton Pocket Gopher|Pygmy Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Western Pocket Gopher,Thomomys mazama,Mazama Pocket Gopher|Puget Sound Pocket Gopher|Tacoma Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Mountain Pocket Gopher,Thomomys monticola,California Mountain Pocket Gopher|Sierra Nevada Pocket Gopher,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Nayar Pocket Gopher,Thomomys nayarensis,,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Sierra Madre Occidental Pocket Gopher,Thomomys sheldoni,Sheldon Pocket Gopher,,RODENTIA,GEOMYIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Northern Pocket Gopher,Thomomys talpoides,Vancouver Pocket Gopher,,RODENTIA,GEOMYIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Townsend's Pocket Gopher,Thomomys townsendii,,,RODENTIA,GEOMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Southern Pocket Gopher,Thomomys umbrinus,Animas Mountains Pocket Gopher,,RODENTIA,GEOMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Agile Kangaroo Rat,Dipodomys agilis,Nimble Kangaroo Rat|Pacific Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
California Kangaroo Rat,Dipodomys californicus,,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Gulf Coast Kangaroo Rat,Dipodomys compactus,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Desert Kangaroo Rat,Dipodomys deserti,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Texas Kangaroo Rat,Dipodomys elator,Loring's Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
San Quintin Kangaroo Rat,Dipodomys gravipes,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Heermann's Kangaroo Rat,Dipodomys heermanni,Morro Bay Kangaroo Rat|Tulare Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Giant Kangaroo Rat,Dipodomys ingens,,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Merriam's Kangaroo Rat,Dipodomys merriami,Margarita Island Kangaroo Rat|San Bernardino Kangaroo Rat|San Jos̩ Island Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Chisel-toothed Kangaroo Rat,Dipodomys microps,Great Basin Kangaroo Rat|Houserock Chisel-toothed Kangaroo Rat|House Rock Valley Kangaroo Rat|Inyo Pocket Rat|Small-faced Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Nelson's Kangaroo Rat,Dipodomys nelsoni,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
San Joaquin Kangaroo Rat,Dipodomys nitratoides,San Joaquin Valley Kangaroo Rat|Fresno Kangaroo Rat|Short-nosed Kangaroo Rat|Tipton Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Ord's Kangaroo Rat,Dipodomys ordii,Five-toed Kangaroo Rat,,RODENTIA,HETEROMYIDAE,Canada|United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Plateau Kangaroo Rat,Dipodomys ornatus,Ornate Kangaroo Rat,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Panamint Kangaroo Rat,Dipodomys panamintinus,Mojave Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Phillips's Kangaroo Rat,Dipodomys phillipsii,Southern Banner-tailed Kangaroo Rat,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Dulzura Kangaroo Rat,Dipodomys simulans,Cabezon Kangaroo Rat|San Borja Kangaroo Rat|Santa Catarina Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Banner-tailed Kangaroo Rat,Dipodomys spectabilis,Bannertail Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,3,TRUE,FALSE
Stephens's Kangaroo Rat,Dipodomys stephensi,Bonsall Relict Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Narrow-faced Kangaroo Rat,Dipodomys venustus,Santa Cruz Kangaroo Rat|Big-eared Kangaroo Rat|Elephant-eared Kangaroo Rat,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Dark Kangaroo Mouse,Microdipodops megacephalus,Owyhee River Kangaroo Mouse,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Pallid Kangaroo Mouse,Microdipodops pallidus,Pale Kangaroo Mouse|Soda Spring Valley Kangaroo Mouse,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Buller's Spiny Pocket Mouse,Heteromys bulleri,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Desmarest's Spiny Pocket Mouse,Heteromys desmarestianus,,,RODENTIA,HETEROMYIDAE,Mexico|Belize|Guatemala|El Salvador|Honduras|Nicaragua|Costa Rica|Panama|Colombia,,No,,,,,,,,,NA,TRUE,FALSE
Gaumer's Spiny Pocket Mouse,Heteromys gaumeri,,,RODENTIA,HETEROMYIDAE,Mexico|Belize|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Goldman's Spiny Pocket Mouse,Heteromys goldmani,,,RODENTIA,HETEROMYIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,NA,FALSE
Mexican Spiny Pocket Mouse,Heteromys irroratus,Guerrero Spiny Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,3,TRUE,FALSE
Nelson's Spiny Pocket Mouse,Heteromys nelsoni,,,RODENTIA,HETEROMYIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Painted Spiny Pocket Mouse,Heteromys pictus,,,RODENTIA,HETEROMYIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Salvin's Spiny Pocket Mouse,Heteromys salvini,,,RODENTIA,HETEROMYIDAE,Mexico|Guatemala|El Salvador|Honduras|Nicaragua|Costa Rica,,No,,,,,,,,,NA,TRUE,FALSE
Jaliscan Spiny Pocket Mouse,Heteromys spectabilis,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Dalquest's Pocket Mouse,Chaetodipus ammophilus,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Little Desert Pocket Mouse,Chaetodipus arenarius,Sand Pocket Mouse,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Narrow-skulled Pocket Mouse,Chaetodipus artus,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Bailey's Pocket Mouse,Chaetodipus baileyi,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
California Pocket Mouse,Chaetodipus californicus,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Highland Coarse-haired Pocket Mouse,Chaetodipus collis,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,NA,NA,FALSE
Durango Coarse-haired Pocket Mouse,Chaetodipus durangae,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,NA,FALSE
Chihuahuan Desert Pocket Mouse,Chaetodipus eremicus,Chihuahuan Pocket Mouse|Eastern Desert Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
San Diego Pocket Mouse,Chaetodipus fallax,Short-eared Pocket Mouse|Anthony's Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Long-tailed Pocket Mouse,Chaetodipus formosus,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Goldman's Pocket Mouse,Chaetodipus goldmani,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Hispid Pocket Mouse,Chaetodipus hispidus,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Rock Pocket Mouse,Chaetodipus intermedius,Intermediate Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Lined Pocket Mouse,Chaetodipus lineatus,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Nelson's Coarse-haired Pocket Mouse,Chaetodipus nelsoni,Nelson's Pocket Mouse,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,4,TRUE,FALSE
Desert Pocket Mouse,Chaetodipus penicillatus,Sonoran Desert Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Sinaloan Pocket Mouse,Chaetodipus pernix,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Peninsular Pocket Mouse,Chaetodipus rudinoris,Baja California Pocket Mouse|Baja Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Cerralvo Island Pocket Mouse,Chaetodipus siccus,,,RODENTIA,HETEROMYIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Spiny Pocket Mouse,Chaetodipus spinatus,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
White-eared Pocket Mouse,Perognathus alticola,Tehachapi Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Arizona Pocket Mouse,Perognathus amplus,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Olive-backed Pocket Mouse,Perognathus fasciatus,,,RODENTIA,HETEROMYIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Plains Pocket Mouse,Perognathus flavescens,Apache Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Silky Pocket Mouse,Perognathus flavus,Baird's Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
San Joaquin Pocket Mouse,Perognathus inornatus,Salinas Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Little Pocket Mouse,Perognathus longimembris,Los Angeles Little Pocket Mouse|Los Angeles Pocket Mouse,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Merriam's Pocket Mouse,Perognathus merriami,,,RODENTIA,HETEROMYIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Great Basin Pocket Mouse,Perognathus mollipilosus,,,RODENTIA,HETEROMYIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Columbia Plateau Pocket Mouse,Perognathus parvus,,,RODENTIA,HETEROMYIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Western Woodland Jumping Mouse,Napaeozapus abietorum,,,RODENTIA,ZAPODIDAE,Canada|United States,,No,,,,,,,,,NA,NA,FALSE
Eastern Woodland Jumping Mouse,Napaeozapus insignis,,,RODENTIA,ZAPODIDAE,Canada|United States,,No,,,,,,,,,3,TRUE,FALSE
Northern Meadow Jumping Mouse,Zapus hudsonius,Hudson Bay Jumping Mouse,,RODENTIA,ZAPODIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Southern Meadow Jumping Mouse,Zapus luteus,,,RODENTIA,ZAPODIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Central Pacific Jumping Mouse,Zapus montanus,,,RODENTIA,ZAPODIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Oregon Jumping Mouse,Zapus oregonus,,,RODENTIA,ZAPODIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
South Pacific Jumping Mouse,Zapus pacificus,,,RODENTIA,ZAPODIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
South-western Jumping Mouse,Zapus princeps,Pacific Jumping Mouse,,RODENTIA,ZAPODIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
North-western Jumping Mouse,Zapus saltator,,,RODENTIA,ZAPODIDAE,Canada|United States,,No,,,,,,,,,NA,NA,FALSE
North Pacific Jumping Mouse,Zapus trinotatus,Coast Jumping Mouse|Point Reyes Jumping Mouse,,RODENTIA,ZAPODIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Western Red-backed Vole,Clethrionomys californicus,California Red-backed Vole,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,NA,TRUE,FALSE
Southern Red-backed Vole,Clethrionomys gapperi,Boreal Red-backed Vole|Gapper's Red-backed Vole|Revillagigedo Island Red-backed Vole,,RODENTIA,CRICETIDAE,Alaska|Canada|United States,,No,,,,,,,,,NA,TRUE,FALSE
Northern Red-backed Vole,Clethrionomys rutilus,Red Vole,,RODENTIA,CRICETIDAE,Norway|Sweden|Finland|Russia|Kazakhstan|China|Mongolia|North Korea|Japan|Alaska|Canada,,No,,,,,,,,,NA,TRUE,FALSE
Nearctic Collared Lemming,Dicrostonyx groenlandicus,Bering Collared Lemming|Greenland Collared Lemming|Northern Collared Lemming|Northern Hoofed Lemming|Northern Varying Lemming,,RODENTIA,CRICETIDAE,Russia|Alaska|Canada|Greenland,,No,,,,,,,,,4,TRUE,FALSE
Ungava Collared Lemming,Dicrostonyx hudsonius,Labrador Collared Lemming,,RODENTIA,CRICETIDAE,Canada,,No,,,,,,,,,4,FALSE,TRUE
Ogilvie Mountains Collared Lemming,Dicrostonyx nunatakensis,Ogilvie Collared Lemming,,RODENTIA,CRICETIDAE,Canada,,No,,,,,,,,,4,FALSE,TRUE
Richardson's Collared Lemming,Dicrostonyx richardsoni,Richardson's Hoofed Lemming|Richardson's Varying Lemming,,RODENTIA,CRICETIDAE,Canada,,No,,,,,,,,,4,TRUE,FALSE
Beringian Brown Lemming,Lemmus nigripes,Beringian Lemming,,RODENTIA,CRICETIDAE,Russia|Alaska|Canada,,No,,,,,,,,,NA,NA,FALSE
Nearctic Brown Lemming,Lemmus trimucronatus,,,RODENTIA,CRICETIDAE,Alaska|Canada,,No,,,,,,,,,4,TRUE,FALSE
Northern Bog Lemming,Synaptomys borealis,Okanagan Bog Lemming,,RODENTIA,CRICETIDAE,Alaska|Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Southern Bog Lemming,Synaptomys cooperi,Kansas Bog Lemming|Southern Lemming Mouse,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Root Vole,Alexandromys oeconomus,Tundra Vole,,RODENTIA,CRICETIDAE,Netherlands|Germany|Austria|Hungary|Slovakia|Poland|Lithuania|Belarus|Ukraine|Estonia|Latvia|Norway|Sweden|Finland|Russia|Kazakhstan|Mongolia|China|Alaska|Canada,,No,,,,,,,,,NA,TRUE,FALSE
Sagebrush Vole,Lemmiscus curtatus,,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Singing Vole,Microtus abbreviatus,St. Matthew Island Vole,Microtus miurus,RODENTIA,CRICETIDAE,Alaska|Canada,,No,,,,,,,,,4,FALSE,TRUE
California Vole,Microtus californicus,Amargosa Vole|California Meadow Mouse,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,4,TRUE,FALSE
Gray-tailed Vole,Microtus canicaudus,,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Rock Vole,Microtus chrotorrhinus,Southern Rock Vole|Yellow-nosed Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Western Meadow Vole,Microtus drummondii,Chihuahua Vole|Potholes Meadow Vole|Admiralty Island Meadow Vole,,RODENTIA,CRICETIDAE,Alaska|Canada|United States,,No,,,,,,,,,NA,NA,FALSE
Florida Salt Marsh Vole,Microtus dukecampbelli,,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Guatemalan Vole,Microtus guatemalensis,,,RODENTIA,CRICETIDAE,Mexico|Guatemala,,No,,,,,,,,,NA,TRUE,FALSE
Long-tailed Vole,Microtus longicaudus,Coronation Island Vole|San Bernardino Long-tailed Vole,,RODENTIA,CRICETIDAE,Alaska|Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Mexican Vole,Microtus mexicanus,,,RODENTIA,CRICETIDAE,Mexico|Guatemala,,No,,,,,,,,,4,TRUE,FALSE
Mogollon Vole,Microtus mogollonensis,Hualpai Vole|Navajo Vole,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,NA,NA,FALSE
Montane Vole,Microtus montanus,Pahranagat Valley Montane Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Tarabundi Vole,Microtus oaxacensis,Oaxacan Vole,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Prairie Vole,Microtus ochrogaster,,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Creeping Vole,Microtus oregoni,Oregon Meadow Mouse|Oregon Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Eastern Meadow Vole,Microtus pennsylvanicus,Meadow Vole|Block Island Meadow Vole|Penobscot Meadow Vole|Beach Vole|Muskeget Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Woodland Vole,Microtus pinetorum,Mole Mouse|Pine Mouse|Pine Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,3,TRUE,FALSE
Jalapan Vole,Microtus quasiater,Jalapan Pine Vole,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
North American Water Vole,Microtus richardsoni,Richardson's Meadow Vole|Richardson's Vole|Richardson's Water Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,NA,FALSE
Townsend's Vole,Microtus townsendii,Triangle Island Vole,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Zempoaltepec Vole,Microtus umbrosus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Taiga Vole,Microtus xanthognathus,Chestnut-cheeked Vole|Yellow-cheeked Vole,,RODENTIA,CRICETIDAE,Alaska|Canada,,No,,,,,,,,,4,TRUE,FALSE
Douglas's Squirrel,Tamiasciurus douglasii,Chickaree|Mearn's Squirrel,Sciurus douglasii,RODENTIA,SCIURIDAE,Canada|United States|Mexico,Yes,Yes,Yes,1675,5997,,,,,,2,NA,TRUE
Fremont's Squirrel,Tamiasciurus fremonti,Southwestern Red Squirrel|Mount Graham Red Squirrel,Sciurus fremonti,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,0,1253,,,,,,NA,NA,FALSE
White-footed Vole,Arborimus albipes,,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Red Tree Vole,Arborimus longicaudus,Reddish Tree Mouse,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Sonoma Tree Vole,Arborimus pomo,California Red Tree Mouse|California Red Tree Vole|Pomo Tree Vole,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,4,TRUE,FALSE
Western Heather Vole,Phenacomys intermedius,,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Eastern Heather Vole,Phenacomys ungava,,,RODENTIA,CRICETIDAE,Canada|United States,,No,,,,,,,,,4,TRUE,FALSE
Southern Pygmy Mouse,Baiomys brunneus,,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador|Nicaragua,,No,,,,,,,,,NA,NA,FALSE
Mexican Pygmy Mouse,Baiomys musculus,,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Northern Pygmy Mouse,Baiomys taylori,,,RODENTIA,CRICETIDAE,United States|Mexico,,No,,,,,,,,,3,TRUE,FALSE
Short-tailed Singing Mouse,Scotinomys teguina,Alston's Brown Mouse|Alston's Singing Mouse,,RODENTIA,CRICETIDAE,Mexico|Guatemala|Honduras|El Salvador|Nicaragua|Costa Rica|Panama,,No,,,,,,,,,NA,TRUE,FALSE
Allen's Woodrat,Hodomys alleni,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Goldman's Diminutive Woodrat,Nelsonia goldmani,Nelson and Goldman's Woodrat,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Western Diminutive Woodrat,Nelsonia neotomodon,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
North American Red Squirrel,Tamiasciurus hudsonicus,Pine Squirrel,,RODENTIA,SCIURIDAE,Alaska|Canada|United States,Yes,Yes,Yes,8264,32629,,,,,,2,NA,TRUE
Tamaulipan Woodrat,Neotoma angustapalata,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Uinta Ground Squirrel,Urocitellus armatus,,Spermophilus armatus,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,846,816,,,,,,4,TRUE,FALSE
Belding's Ground Squirrel,Urocitellus beldingi,,Spermophilus beldingi,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,1014,783,,,,,,4,TRUE,FALSE
Idaho Ground Squirrel,Urocitellus brunneus,,"Spermophilus brunneus, Citellus townsendii brunneus
",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,20,17,,,,,,4,TRUE,FALSE
Guatemala Woodrat,Neotoma ferruginea,Tomes's Woodrat,,RODENTIA,CRICETIDAE,Mexico|Guatemala|El Salvador|Honduras,No,Yes,,,,,,,,,NA,NA,FALSE
Merriam's Ground Squirrel,Urocitellus canus,,"Spermophilus canus, Spermophilus mollis canus",RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,134,5,,,,,,4,TRUE,FALSE
Columbian Ground Squirrel,Urocitellus columbianus,,Spermophilus columbianus,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,599,2865,,,,,,3,TRUE,FALSE
Goldman's Woodrat,Neotoma goldmani,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Angel de la Guarda Woodrat,Neotoma insularis,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Wyoming Ground Squirrel,Urocitellus elegans,,Spermophilus elegans,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,673,419,,,,,,4,TRUE,FALSE
Piute Ground Squirrel,Urocitellus mollis,,Spermophilus mollis,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,1058,50,,,,,,4,TRUE,FALSE
Richardson's Ground Squirrel,Urocitellus richardsonii,,Spermophilus richardsonii,RODENTIA,SCIURIDAE,Canada|United States,Yes,Yes,Yes,480,1249,,,,,,4,TRUE,FALSE
Townsend's Ground Squirrel,Urocitellus townsendii,,Spermophilus townsendii,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,480,19,,,,,,4,FALSE,TRUE
Black-tailed Woodrat,Neotoma melanura,Sonora Woodrat,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,NA,FALSE
Washington Ground Squirrel,Urocitellus washingtoni,,Spermophilus washingtoni,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,107,5,,,,,,4,TRUE,FALSE
Mohave Ground Squirrel,Xerospermophilus mohavensis,,Spermophilus mohavensis,RODENTIA,SCIURIDAE,United States,Yes,Yes,Yes,95,4,,,,,,3,TRUE,FALSE
Nelson's Woodrat,Neotoma nelsoni,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Bola̱os Woodrat,Neotoma palatina,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Sonoran Woodrat,Neotoma phenax,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Painted Woodrat,Neotoma picta,,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,NA,FALSE
Spotted Ground Squirrel,Xerospermophilus spilosoma,,Spermophilus spilosoma,RODENTIA,SCIURIDAE,United States|Mexico,Yes,Yes,Yes,1383,467,,,,,,3,TRUE,FALSE
Magdalena Woodrat,Xenomys nelsoni,Magdalena Rat,,RODENTIA,CRICETIDAE,Mexico,No,Yes,,,,,,,,,NA,TRUE,FALSE
Golden Mouse,Ochrotomys nuttalli,,,RODENTIA,CRICETIDAE,United States,,No,,,,,,,,,3,TRUE,FALSE
Chinanteco Deermouse,Habromys chinanteco,Chinanteco Crested-tail Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Delicate Deermouse,Habromys delicatulus,Delicate Crested-tail Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Ixtlan Deermouse,Habromys ixtlani,Ixtlan Crested-tail Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Zempoaltepec Deermouse,Habromys lepturus,Zempoaltepec Crested-tail Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Crested-tailed Deermouse,Habromys lophurus,Crested-tailed Mouse,,RODENTIA,CRICETIDAE,Mexico|Guatemala|El Salvador,,No,,,,,,,,,NA,TRUE,FALSE
Schmidly's Deermouse,Habromys schmidlyi,Schmidly's Crested-tail Mouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
Xico Deermouse,Habromys simulatus,Jico Crested-tail Mouse|Jico Deermouse,,RODENTIA,CRICETIDAE,Mexico,,No,,,,,,,,,NA,TRUE,FALSE
